# Temperature (C), Mass Fraction
8.0027e+01,1.0005e+00
8.0193e+01,1.0003e+00
8.0360e+01,1.0008e+00
8.0527e+01,1.0002e+00
8.0693e+01,9.9939e-01
8.0860e+01,1.0010e+00
8.1027e+01,1.0002e+00
8.1193e+01,9.9985e-01
8.1360e+01,9.9984e-01
8.1527e+01,1.0002e+00
8.1693e+01,1.0003e+00
8.1860e+01,1.0001e+00
8.2027e+01,9.9973e-01
8.2194e+01,1.0009e+00
8.2360e+01,1.0000e+00
8.2527e+01,1.0005e+00
8.2694e+01,1.0003e+00
8.2860e+01,1.0004e+00
8.3027e+01,1.0001e+00
8.3194e+01,9.9887e-01
8.3360e+01,9.9978e-01
8.3527e+01,1.0002e+00
8.3694e+01,1.0003e+00
8.3861e+01,9.9966e-01
8.4027e+01,1.0000e+00
8.4194e+01,1.0001e+00
8.4361e+01,1.0004e+00
8.4527e+01,1.0003e+00
8.4694e+01,1.0008e+00
8.4861e+01,1.0002e+00
8.5027e+01,1.0004e+00
8.5194e+01,1.0003e+00
8.5361e+01,9.9989e-01
8.5528e+01,1.0000e+00
8.5694e+01,9.9953e-01
8.5861e+01,1.0003e+00
8.6028e+01,9.9968e-01
8.6194e+01,9.9998e-01
8.6361e+01,9.9998e-01
8.6528e+01,1.0006e+00
8.6694e+01,9.9981e-01
8.6861e+01,1.0009e+00
8.7028e+01,1.0004e+00
8.7195e+01,1.0000e+00
8.7361e+01,9.9955e-01
8.7528e+01,1.0002e+00
8.7695e+01,9.9987e-01
8.7861e+01,9.9965e-01
8.8028e+01,1.0002e+00
8.8195e+01,1.0001e+00
8.8361e+01,9.9933e-01
8.8528e+01,1.0007e+00
8.8695e+01,9.9954e-01
8.8861e+01,9.9983e-01
8.9028e+01,1.0004e+00
8.9195e+01,9.9977e-01
8.9362e+01,1.0000e+00
8.9528e+01,9.9998e-01
8.9695e+01,9.9984e-01
8.9862e+01,9.9999e-01
9.0028e+01,9.9970e-01
9.0195e+01,1.0007e+00
9.0362e+01,1.0002e+00
9.0528e+01,9.9971e-01
9.0695e+01,1.0002e+00
9.0862e+01,1.0005e+00
9.1029e+01,1.0003e+00
9.1195e+01,9.9964e-01
9.1362e+01,9.9953e-01
9.1529e+01,1.0006e+00
9.1695e+01,9.9967e-01
9.1862e+01,1.0004e+00
9.2029e+01,1.0000e+00
9.2195e+01,9.9918e-01
9.2362e+01,9.9962e-01
9.2529e+01,9.9963e-01
9.2696e+01,9.9992e-01
9.2862e+01,9.9987e-01
9.3029e+01,1.0007e+00
9.3196e+01,1.0002e+00
9.3362e+01,1.0003e+00
9.3529e+01,9.9983e-01
9.3696e+01,9.9943e-01
9.3862e+01,9.9984e-01
9.4029e+01,9.9936e-01
9.4196e+01,1.0001e+00
9.4363e+01,9.9987e-01
9.4529e+01,9.9975e-01
9.4696e+01,1.0005e+00
9.4863e+01,9.9990e-01
9.5029e+01,1.0007e+00
9.5196e+01,1.0003e+00
9.5363e+01,1.0002e+00
9.5529e+01,9.9978e-01
9.5696e+01,1.0001e+00
9.5863e+01,9.9962e-01
9.6029e+01,9.9953e-01
9.6196e+01,1.0017e+00
9.6363e+01,9.9949e-01
9.6530e+01,9.9949e-01
9.6696e+01,1.0011e+00
9.6863e+01,9.9960e-01
9.7030e+01,1.0002e+00
9.7196e+01,1.0005e+00
9.7363e+01,9.9982e-01
9.7530e+01,1.0005e+00
9.7696e+01,9.9929e-01
9.7863e+01,9.9992e-01
9.8030e+01,1.0000e+00
9.8197e+01,9.9899e-01
9.8363e+01,1.0006e+00
9.8530e+01,9.9963e-01
9.8697e+01,9.9934e-01
9.8863e+01,1.0001e+00
9.9030e+01,9.9870e-01
9.9197e+01,9.9970e-01
9.9363e+01,9.9917e-01
9.9530e+01,9.9943e-01
9.9697e+01,1.0004e+00
9.9864e+01,1.0004e+00
1.0003e+02,9.9877e-01
1.0020e+02,9.9885e-01
1.0036e+02,9.9961e-01
1.0053e+02,1.0007e+00
1.0070e+02,9.9971e-01
1.0086e+02,1.0006e+00
1.0103e+02,1.0003e+00
1.0120e+02,1.0005e+00
1.0136e+02,9.9915e-01
1.0153e+02,9.9984e-01
1.0170e+02,9.9983e-01
1.0186e+02,1.0000e+00
1.0203e+02,1.0002e+00
1.0220e+02,1.0004e+00
1.0236e+02,9.9973e-01
1.0253e+02,9.9954e-01
1.0270e+02,9.9921e-01
1.0286e+02,9.9982e-01
1.0303e+02,1.0001e+00
1.0320e+02,1.0010e+00
1.0336e+02,1.0007e+00
1.0353e+02,1.0003e+00
1.0370e+02,1.0003e+00
1.0386e+02,9.9964e-01
1.0403e+02,9.9996e-01
1.0420e+02,1.0001e+00
1.0436e+02,9.9975e-01
1.0453e+02,9.9990e-01
1.0470e+02,9.9998e-01
1.0486e+02,1.0004e+00
1.0503e+02,1.0002e+00
1.0520e+02,9.9905e-01
1.0536e+02,1.0006e+00
1.0553e+02,9.9919e-01
1.0570e+02,9.9992e-01
1.0586e+02,9.9950e-01
1.0603e+02,9.9961e-01
1.0620e+02,1.0003e+00
1.0636e+02,1.0007e+00
1.0653e+02,1.0007e+00
1.0670e+02,1.0006e+00
1.0686e+02,9.9932e-01
1.0703e+02,1.0000e+00
1.0720e+02,9.9941e-01
1.0736e+02,9.9955e-01
1.0753e+02,9.9966e-01
1.0770e+02,9.9987e-01
1.0787e+02,9.9923e-01
1.0803e+02,9.9927e-01
1.0820e+02,1.0008e+00
1.0837e+02,1.0001e+00
1.0853e+02,9.9917e-01
1.0870e+02,1.0007e+00
1.0887e+02,1.0000e+00
1.0903e+02,1.0002e+00
1.0920e+02,9.9957e-01
1.0937e+02,9.9978e-01
1.0953e+02,1.0008e+00
1.0970e+02,1.0008e+00
1.0987e+02,1.0001e+00
1.1003e+02,9.9948e-01
1.1020e+02,9.9941e-01
1.1037e+02,9.9979e-01
1.1053e+02,9.9991e-01
1.1070e+02,9.9919e-01
1.1087e+02,1.0004e+00
1.1103e+02,1.0000e+00
1.1120e+02,1.0005e+00
1.1137e+02,9.9945e-01
1.1153e+02,1.0005e+00
1.1170e+02,9.9985e-01
1.1187e+02,1.0004e+00
1.1203e+02,1.0006e+00
1.1220e+02,9.9987e-01
1.1237e+02,1.0000e+00
1.1253e+02,9.9962e-01
1.1270e+02,1.0005e+00
1.1287e+02,1.0001e+00
1.1303e+02,9.9950e-01
1.1320e+02,1.0001e+00
1.1337e+02,9.9984e-01
1.1353e+02,1.0000e+00
1.1370e+02,9.9963e-01
1.1387e+02,1.0000e+00
1.1403e+02,1.0002e+00
1.1420e+02,1.0000e+00
1.1437e+02,1.0001e+00
1.1453e+02,9.9955e-01
1.1470e+02,1.0004e+00
1.1487e+02,1.0011e+00
1.1503e+02,9.9981e-01
1.1520e+02,1.0001e+00
1.1537e+02,1.0005e+00
1.1553e+02,1.0005e+00
1.1570e+02,1.0004e+00
1.1587e+02,9.9934e-01
1.1603e+02,9.9992e-01
1.1620e+02,9.9957e-01
1.1637e+02,9.9978e-01
1.1653e+02,9.9980e-01
1.1670e+02,1.0000e+00
1.1687e+02,1.0001e+00
