# Temperature (C), Mass Fraction
1.0770e+02,1.0000e+00
1.0787e+02,1.0000e+00
1.0803e+02,1.0000e+00
1.0820e+02,1.0000e+00
1.0837e+02,1.0000e+00
1.0853e+02,1.0000e+00
1.0870e+02,1.0000e+00
1.0887e+02,1.0000e+00
1.0903e+02,1.0000e+00
1.0920e+02,1.0000e+00
1.0937e+02,1.0000e+00
1.0953e+02,1.0000e+00
1.0970e+02,1.0000e+00
1.0987e+02,1.0000e+00
1.1003e+02,1.0000e+00
1.1020e+02,1.0000e+00
1.1037e+02,1.0000e+00
1.1053e+02,1.0000e+00
1.1070e+02,1.0000e+00
1.1087e+02,1.0000e+00
1.1103e+02,1.0000e+00
1.1120e+02,1.0000e+00
1.1137e+02,1.0000e+00
1.1153e+02,1.0000e+00
1.1170e+02,1.0000e+00
1.1187e+02,1.0000e+00
1.1203e+02,1.0000e+00
1.1220e+02,1.0000e+00
1.1237e+02,1.0000e+00
1.1253e+02,1.0000e+00
1.1270e+02,1.0000e+00
1.1287e+02,1.0000e+00
1.1303e+02,1.0000e+00
1.1320e+02,1.0000e+00
1.1337e+02,1.0000e+00
1.1353e+02,1.0000e+00
1.1370e+02,1.0000e+00
1.1387e+02,1.0000e+00
1.1403e+02,1.0000e+00
1.1420e+02,1.0000e+00
1.1437e+02,1.0000e+00
1.1453e+02,1.0000e+00
1.1470e+02,1.0000e+00
1.1487e+02,1.0000e+00
1.1503e+02,1.0000e+00
1.1520e+02,1.0000e+00
1.1537e+02,1.0000e+00
1.1553e+02,1.0000e+00
1.1570e+02,1.0000e+00
1.1587e+02,1.0000e+00
1.1603e+02,1.0000e+00
1.1620e+02,1.0000e+00
1.1637e+02,1.0000e+00
1.1653e+02,1.0000e+00
1.1670e+02,1.0000e+00
1.1687e+02,1.0000e+00
1.1703e+02,1.0000e+00
1.1720e+02,1.0000e+00
1.1737e+02,1.0000e+00
1.1753e+02,1.0000e+00
1.1770e+02,1.0000e+00
1.1787e+02,1.0000e+00
1.1803e+02,1.0000e+00
1.1820e+02,1.0000e+00
1.1837e+02,1.0000e+00
1.1853e+02,1.0000e+00
1.1870e+02,1.0000e+00
1.1887e+02,1.0000e+00
1.1903e+02,1.0000e+00
1.1920e+02,1.0000e+00
1.1937e+02,1.0000e+00
1.1953e+02,1.0000e+00
1.1970e+02,1.0000e+00
1.1987e+02,1.0000e+00
1.2003e+02,1.0000e+00
1.2020e+02,1.0000e+00
1.2037e+02,1.0000e+00
1.2053e+02,1.0000e+00
1.2070e+02,1.0000e+00
1.2087e+02,1.0000e+00
1.2103e+02,1.0000e+00
1.2120e+02,1.0000e+00
1.2137e+02,1.0000e+00
1.2153e+02,1.0000e+00
1.2170e+02,1.0000e+00
1.2187e+02,1.0000e+00
1.2203e+02,1.0000e+00
1.2220e+02,1.0000e+00
1.2237e+02,1.0000e+00
1.2253e+02,1.0000e+00
1.2270e+02,1.0000e+00
1.2287e+02,1.0000e+00
1.2303e+02,1.0000e+00
1.2320e+02,1.0000e+00
1.2337e+02,1.0000e+00
1.2353e+02,1.0000e+00
1.2370e+02,1.0000e+00
1.2387e+02,1.0000e+00
1.2403e+02,1.0000e+00
1.2420e+02,1.0000e+00
1.2437e+02,1.0000e+00
1.2453e+02,1.0000e+00
1.2470e+02,1.0000e+00
1.2487e+02,1.0000e+00
1.2503e+02,1.0000e+00
1.2520e+02,1.0000e+00
1.2537e+02,1.0000e+00
1.2553e+02,1.0000e+00
1.2570e+02,1.0000e+00
1.2587e+02,1.0000e+00
1.2604e+02,1.0000e+00
1.2620e+02,1.0000e+00
1.2637e+02,1.0000e+00
1.2654e+02,1.0000e+00
1.2670e+02,1.0000e+00
1.2687e+02,1.0000e+00
1.2704e+02,1.0000e+00
1.2720e+02,1.0000e+00
1.2737e+02,1.0000e+00
1.2754e+02,1.0000e+00
1.2770e+02,1.0000e+00
1.2787e+02,1.0000e+00
1.2804e+02,1.0000e+00
1.2820e+02,1.0000e+00
1.2837e+02,1.0000e+00
1.2854e+02,1.0000e+00
1.2870e+02,1.0000e+00
1.2887e+02,1.0000e+00
1.2904e+02,1.0000e+00
1.2920e+02,1.0000e+00
1.2937e+02,1.0000e+00
1.2954e+02,1.0000e+00
1.2970e+02,1.0000e+00
1.2987e+02,1.0000e+00
1.3004e+02,1.0000e+00
1.3020e+02,1.0000e+00
1.3037e+02,1.0000e+00
1.3054e+02,1.0000e+00
1.3070e+02,1.0000e+00
